Student ID,First Name,Last Name,DOB,Class,Score
-8.4557348785117563E18,90.0,cslowhet,2004-02-05,Class2,80.0
7.7507389279567012E18,82.0,ptb,2002-09-09,Class5,72.0
-5.7042310852774202E17,94.0,pxg,2006-11-02,Class2,84.0
-3.7042995133882235E18,70.0,uxse,2010-02-05,Class3,60.0
-5.8517369072545188E18,91.0,vonrntj,2006-04-08,Class2,81.0
3.9607095820282614E18,93.0,iblebmwf,2010-08-02,Class1,83.0
-2.29886903956475494E18,88.0,pxtryygl,2002-07-02,Class4,78.0
3.6789688427580529E18,90.0,yenagap,2003-07-04,Class3,80.0
-9.417841086308969E17,92.0,yxld,2006-11-17,Class5,82.0
-6.6990911261228954E18,86.0,bhj,2001-02-07,Class4,76.0
-3.2308530874319882E18,92.0,sbnlbtxa,2008-12-17,Class2,82.0
-6.5334362434797404E18,94.0,wvsuiy,2002-11-12,Class2,84.0
7.0925341423018056E18,72.0,kxk,2006-04-04,Class4,62.0
-3.3955735567324557E17,80.0,rewsdjq,2008-01-11,Class4,70.0
8.6856642764459776E18,68.0,vmigsslw,2009-04-19,Class2,58.0
6.4836468853178542E18,77.0,gvltyxc,2000-02-26,Class5,67.0
4.5568996195494918E17,73.0,drrqh,2005-01-03,Class2,63.0
-8.9948051622660465E18,92.0,dza,2009-02-04,Class2,82.0
7.254393232409302E15,94.0,qawpyw,2004-06-23,Class3,84.0
8.386673978942251E18,75.0,dgl,2005-11-11,Class5,65.0
2.06722135603241472E18,72.0,vir,2003-01-04,Class5,62.0
-4.0705598655666888E18,81.0,aqyo,2004-03-05,Class3,71.0
3.7945884586094648E18,91.0,qbov,2004-10-20,Class5,81.0
-8.2636859450751918E18,68.0,vjxg,2001-04-15,Class4,58.0
-6.9967603902433096E18,94.0,wdz,2001-10-15,Class3,84.0
2.9550554880976276E18,74.0,aezr,2006-06-05,Class5,64.0
-2.5203144315849723E18,94.0,ljujwi,2009-05-10,Class2,84.0
6.2162033948971172E18,72.0,frsxtmqz,2008-04-12,Class5,62.0
4.6601583362786437E18,72.0,ouygfwd,2001-11-23,Class3,62.0
-4.8885156470955674E18,92.0,axeerqr,2008-12-28,Class1,82.0
6.9247825041691781E18,68.0,jmrjk,2004-10-14,Class3,58.0
-7.5205010864729836E18,94.0,ufnmn,2010-10-09,Class2,84.0
-6.1774960165296189E18,88.0,ftfq,2010-05-05,Class2,78.0
-1.2573765276778327E18,91.0,mhd,2010-07-23,Class5,81.0
-8.6882456100920474E18,89.0,kuk,2000-10-02,Class3,79.0
8.7542407895198259E18,76.0,vayhmxyj,2006-05-07,Class4,66.0
-8.8822220649261926E18,73.0,kgyubke,2002-03-24,Class3,63.0
-2.4504366561621489E18,94.0,xmhnjj,2006-06-25,Class2,84.0
2.5328470264543355E18,65.0,xfmbkj,2002-08-06,Class3,55.0
7.3012664662349773E18,72.0,ctn,2001-08-20,Class1,62.0
5.6392678508904643E18,84.0,zvjpzr,2000-08-05,Class3,74.0
3.9428160446916372E18,95.0,vru,2005-04-13,Class3,85.0
5.7020260794682696E18,92.0,riizt,2009-02-18,Class5,82.0
-4.7347191161238794E18,67.0,eeow,2009-05-22,Class3,57.0
-6.6433720299585116E18,80.0,tagih,2008-09-06,Class3,70.0
1.41192363536804429E18,67.0,rxue,2009-01-07,Class4,57.0
-5.0188755194987162E18,77.0,dmes,2008-07-04,Class5,67.0
-6.7657093123557376E18,72.0,guoi,2005-12-18,Class5,62.0
-1.86821051052923725E18,72.0,ggiwdxa,2003-03-05,Class2,62.0
8.9120006611869747E18,78.0,rtu,2007-05-08,Class4,68.0
-2.7719868064160804E18,75.0,ccqbqc,2003-08-09,Class5,65.0
9.2172408861453855E18,75.0,jphv,2006-03-17,Class1,65.0
-2.8003445612286705E18,75.0,smzuwd,2000-08-18,Class1,65.0
-5.1182470047953377E18,68.0,ybdtcg,2003-02-21,Class1,58.0
-5.5336934584035328E16,69.0,zpllasj,2007-01-15,Class1,59.0
-8.1416254900572989E18,92.0,zizqdj,2002-08-04,Class5,82.0
-5.4412412365750989E18,78.0,mlcitra,2009-07-25,Class5,68.0
-6.7339546714803005E18,66.0,wbukwn,2005-07-08,Class4,56.0
-7.296656238734209E18,93.0,qbb,2001-09-16,Class2,83.0
7.8979778770763192E18,76.0,kbfnxthg,2003-10-06,Class4,66.0
3.809213498179882E18,76.0,xcp,2002-11-24,Class2,66.0
7.8767923033658931E18,89.0,flprq,2008-10-21,Class5,79.0
-2.8461513450109783E18,84.0,ixxdfqvo,2005-05-23,Class5,74.0
6.3533060007228969E18,92.0,msgl,2009-07-09,Class3,82.0
-4.8114209250879478E18,65.0,ryuvhd,2000-05-14,Class2,55.0
-5.4609446399600558E18,73.0,lzjdm,2005-11-26,Class5,63.0
-8.8363586605086894E18,67.0,astcprq,2002-07-22,Class2,57.0
-6.3907964022135245E18,93.0,zjwxace,2006-11-05,Class5,83.0
-2.3962245761178839E18,92.0,kxty,2008-05-20,Class1,82.0
7.6602239978366515E18,90.0,xkifmuoh,2007-05-09,Class1,80.0
6.4410700861771868E18,83.0,oosx,2008-08-11,Class4,73.0
-4.3395429253527629E18,94.0,vrgqnwad,2000-07-21,Class3,84.0
-5.7240758247608474E18,77.0,lkalj,2009-04-14,Class3,67.0
8.4239002110948198E18,86.0,bmm,2000-04-05,Class3,76.0
-2.41822269086112704E17,79.0,kqhq,2009-12-03,Class5,69.0
5.3497371602303621E18,68.0,ryrzcuy,2005-02-17,Class4,58.0
5.3193781139658516E18,93.0,pyjp,2009-03-22,Class5,83.0
9.9008998654144794E17,67.0,gich,2002-10-26,Class5,57.0
3.226047188097644E18,86.0,csjtdavn,2005-11-22,Class2,76.0
-2.8076741603371699E18,80.0,kxdm,2007-10-17,Class1,70.0
8.3933474830970399E18,91.0,vmyo,2004-04-07,Class4,81.0
-1.58956890004530765E18,81.0,eke,2004-05-16,Class2,71.0
7.4461920539455631E18,79.0,cwqghx,2010-11-14,Class1,69.0
-5.0382008860226212E18,74.0,drscmh,2005-08-19,Class1,64.0
-7.956353154190743E17,95.0,mnlxvn,2005-01-05,Class1,85.0
-4.6537740561276477E18,92.0,tjimkgpp,2010-04-07,Class5,82.0
2.6710104229191752E18,70.0,qzvh,2007-02-15,Class1,60.0
-6.5534490484777472E18,94.0,uwcdy,2006-03-06,Class3,84.0
-5.92432026247309E18,80.0,lftt,2008-04-22,Class3,70.0
-6.2152446380256486E17,65.0,ltscwq,2002-05-23,Class3,55.0
8.8275256783738051E18,95.0,sud,2006-02-08,Class2,85.0
